Actividad económica principal;Indicador;Comunidad autónoma;periodo;Total
TOTAL;Valores absolutos;Cantabria;2023;666,0
TOTAL;Valores absolutos;Cantabria;2022;624,0
TOTAL;Valores absolutos;Cantabria;2021;579,0
TOTAL;Valores absolutos;Cantabria;2020;584,0
TOTAL;Valores absolutos;Cantabria;2019;563,0
TOTAL;Valores absolutos;Cantabria;2018;456,0
TOTAL;Valores absolutos;Cantabria;2017;463,0
TOTAL;Valores absolutos;Cantabria;2016;407,0
TOTAL;Valores absolutos;Cantabria;2015;399,0
TOTAL;Valores absolutos;Cantabria;2014;364,0
TOTAL;Valores absolutos;Cantabria;2013;334,0
TOTAL;Valores absolutos;Cantabria;2012;309,0
TOTAL;Valores absolutos;Cantabria;2011;294,0
TOTAL;Valores absolutos;Cantabria;2010;273,0
TOTAL;Valores absolutos;Cantabria;2009;299,0
TOTAL;Valores absolutos;Cantabria;2008;311,0
TOTAL;Valores absolutos;Castilla y León;2024;1.849,0
TOTAL;Valores absolutos;Castilla y León;2023;1.753,0
TOTAL;Valores absolutos;Castilla y León;2022;2.375,0
TOTAL;Valores absolutos;Castilla y León;2021;2.271,0
TOTAL;Valores absolutos;Castilla y León;2020;2.309,0
TOTAL;Valores absolutos;Castilla y León;2019;2.259,0
TOTAL;Valores absolutos;Castilla y León;2018;1.986,0
TOTAL;Valores absolutos;Castilla y León;2017;1.949,0
TOTAL;Valores absolutos;Castilla y León;2016;1.870,0
TOTAL;Valores absolutos;Castilla y León;2015;1.756,0
TOTAL;Valores absolutos;Castilla y León;2014;1.583,0
TOTAL;Valores absolutos;Castilla y León;2013;1.470,0
TOTAL;Valores absolutos;Castilla y León;2012;1.418,0
TOTAL;Valores absolutos;Castilla y León;2011;1.306,0
TOTAL;Valores absolutos;Castilla y León;2010;1.253,0
TOTAL;Valores absolutos;Castilla y León;2009;1.124,0
TOTAL;Valores absolutos;Castilla y León;2008;1.123,0
TOTAL;Valores absolutos;Castilla-La Mancha;2024;1.548,0
TOTAL;Valores absolutos;Castilla-La Mancha;2023;1.506,0
TOTAL;Valores absolutos;Castilla-La Mancha;2022;1.572,0
TOTAL;Valores absolutos;Castilla-La Mancha;2021;1.479,0
TOTAL;Valores absolutos;Castilla-La Mancha;2020;1.527,0
TOTAL;Valores absolutos;Castilla-La Mancha;2019;1.482,0
TOTAL;Valores absolutos;Castilla-La Mancha;2018;1.277,0
TOTAL;Valores absolutos;Castilla-La Mancha;2017;1.278,0
TOTAL;Valores absolutos;Castilla-La Mancha;2016;1.216,0
TOTAL;Valores absolutos;Castilla-La Mancha;2015;1.150,0
TOTAL;Valores absolutos;Castilla-La Mancha;2014;1.032,0
TOTAL;Valores absolutos;Castilla-La Mancha;2013;903,0
TOTAL;Valores absolutos;Castilla-La Mancha;2012;854,0
TOTAL;Valores absolutos;Castilla-La Mancha;2011;799,0
TOTAL;Valores absolutos;Castilla-La Mancha;2010;767,0
TOTAL;Valores absolutos;Castilla-La Mancha;2009;795,0
TOTAL;Valores absolutos;Castilla-La Mancha;2008;782,0
TOTAL;Valores absolutos;Cataluña;2024;7.390,0
TOTAL;Valores absolutos;Cataluña;2023;6.944,0
TOTAL;Valores absolutos;Cataluña;2022;7.159,0
TOTAL;Valores absolutos;Cataluña;2021;6.791,0
TOTAL;Valores absolutos;Cataluña;2020;6.786,0
TOTAL;Valores absolutos;Cataluña;2019;6.545,0
TOTAL;Valores absolutos;Cataluña;2018;5.963,0
TOTAL;Valores absolutos;Cataluña;2017;5.850,0
TOTAL;Valores absolutos;Cataluña;2016;5.709,0
TOTAL;Valores absolutos;Cataluña;2015;5.358,0
TOTAL;Valores absolutos;Cataluña;2014;4.937,0
TOTAL;Valores absolutos;Cataluña;2013;4.684,0
TOTAL;Valores absolutos;Cataluña;2012;4.568,0
TOTAL;Valores absolutos;Cataluña;2011;4.378,0
TOTAL;Valores absolutos;Cataluña;2010;4.325,0
TOTAL;Valores absolutos;Cataluña;2009;4.032,0
TOTAL;Valores absolutos;Cataluña;2008;4.055,0
TOTAL;Valores absolutos;Comunitat Valenciana;2024;5.056,0
TOTAL;Valores absolutos;Comunitat Valenciana;2023;4.728,0
TOTAL;Valores absolutos;Comunitat Valenciana;2022;4.752,0
TOTAL;Valores absolutos;Comunitat Valenciana;2021;4.427,0
TOTAL;Valores absolutos;Comunitat Valenciana;2020;4.334,0
TOTAL;Valores absolutos;Comunitat Valenciana;2019;4.133,0
TOTAL;Valores absolutos;Comunitat Valenciana;2018;3.592,0
TOTAL;Valores absolutos;Comunitat Valenciana;2017;3.613,0
TOTAL;Valores absolutos;Comunitat Valenciana;2016;3.396,0
TOTAL;Valores absolutos;Comunitat Valenciana;2015;3.150,0
TOTAL;Valores absolutos;Comunitat Valenciana;2014;2.931,0
TOTAL;Valores absolutos;Comunitat Valenciana;2013;2.696,0
TOTAL;Valores absolutos;Comunitat Valenciana;2012;2.586,0
TOTAL;Valores absolutos;Comunitat Valenciana;2011;2.436,0
TOTAL;Valores absolutos;Comunitat Valenciana;2010;2.400,0
TOTAL;Valores absolutos;Comunitat Valenciana;2009;2.377,0
TOTAL;Valores absolutos;Comunitat Valenciana;2008;2.383,0
TOTAL;Valores absolutos;Extremadura;2024;812,0
TOTAL;Valores absolutos;Extremadura;2023;767,0
TOTAL;Valores absolutos;Extremadura;2022;784,0
TOTAL;Valores absolutos;Extremadura;2021;725,0
TOTAL;Valores absolutos;Extremadura;2020;737,0
TOTAL;Valores absolutos;Extremadura;2019;729,0
TOTAL;Valores absolutos;Extremadura;2018;664,0
TOTAL;Valores absolutos;Extremadura;2017;677,0
TOTAL;Valores absolutos;Extremadura;2016;654,0
TOTAL;Valores absolutos;Extremadura;2015;586,0
TOTAL;Valores absolutos;Extremadura;2014;545,0
TOTAL;Valores absolutos;Extremadura;2013;498,0
TOTAL;Valores absolutos;Extremadura;2012;500,0
TOTAL;Valores absolutos;Extremadura;2011;472,0
TOTAL;Valores absolutos;Extremadura;2010;473,0
TOTAL;Valores absolutos;Extremadura;2009;418,0
TOTAL;Valores absolutos;Extremadura;2008;417,0
TOTAL;Valores absolutos;Galicia;2024;2.747,0
TOTAL;Valores absolutos;Galicia;2023;2.582,0
TOTAL;Valores absolutos;Galicia;2022;2.657,0
TOTAL;Valores absolutos;Galicia;2021;2.571,0
TOTAL;Valores absolutos;Galicia;2020;2.540,0
TOTAL;Valores absolutos;Galicia;2019;2.453,0
TOTAL;Valores absolutos;Galicia;2018;2.166,0
TOTAL;Valores absolutos;Galicia;2017;2.117,0
TOTAL;Valores absolutos;Galicia;2016;2.076,0
TOTAL;Valores absolutos;Galicia;2015;1.951,0
TOTAL;Valores absolutos;Galicia;2014;1.827,0
TOTAL;Valores absolutos;Galicia;2013;1.730,0
TOTAL;Valores absolutos;Galicia;2012;1.676,0
TOTAL;Valores absolutos;Galicia;2011;1.544,0
TOTAL;Valores absolutos;Galicia;2010;1.500,0
TOTAL;Valores absolutos;Galicia;2009;1.402,0
TOTAL;Valores absolutos;Galicia;2008;1.390,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2024;5.922,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2023;5.613,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2022;6.363,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2021;6.008,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2020;6.028,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2019;5.766,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2018;5.167,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2017;5.166,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2016;5.034,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2015;4.789,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2014;4.390,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2013;4.102,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2012;3.960,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2011;3.760,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2010;3.634,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2009;3.217,0
TOTAL;Valores absolutos;Madrid, Comunidad de;2008;3.173,0
TOTAL;Valores absolutos;Murcia, Región de;2024;1.277,0
TOTAL;Valores absolutos;Murcia, Región de;2023;1.196,0
TOTAL;Valores absolutos;Murcia, Región de;2022;1.229,0
TOTAL;Valores absolutos;Murcia, Región de;2021;1.128,0
TOTAL;Valores absolutos;Murcia, Región de;2020;1.151,0
TOTAL;Valores absolutos;Murcia, Región de;2019;1.115,0
TOTAL;Valores absolutos;Murcia, Región de;2018;995,0
TOTAL;Valores absolutos;Murcia, Región de;2017;970,0
TOTAL;Valores absolutos;Murcia, Región de;2016;954,0
TOTAL;Valores absolutos;Murcia, Región de;2015;867,0
TOTAL;Valores absolutos;Murcia, Región de;2014;783,0
TOTAL;Valores absolutos;Murcia, Región de;2013;731,0
TOTAL;Valores absolutos;Murcia, Región de;2012;706,0
TOTAL;Valores absolutos;Murcia, Región de;2011;672,0
TOTAL;Valores absolutos;Murcia, Región de;2010;652,0
TOTAL;Valores absolutos;Murcia, Región de;2009;649,0
TOTAL;Valores absolutos;Murcia, Región de;2008;624,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2024;686,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2023;662,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2022;692,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2021;653,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2020;649,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2019;652,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2018;476,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2017;452,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2016;415,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2015;392,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2014;356,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2013;325,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2012;320,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2011;304,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2010;303,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2009;307,0
TOTAL;Valores absolutos;Navarra, Comunidad Foral de;2008;299,0
TOTAL;Valores absolutos;País Vasco;2024;2.162,0
TOTAL;Valores absolutos;País Vasco;2023;2.060,0
TOTAL;Valores absolutos;País Vasco;2022;2.052,0
TOTAL;Valores absolutos;País Vasco;2021;1.926,0
TOTAL;Valores absolutos;País Vasco;2020;1.916,0
TOTAL;Valores absolutos;País Vasco;2019;1.761,0
TOTAL;Valores absolutos;País Vasco;2018;1.337,0
TOTAL;Valores absolutos;País Vasco;2017;1.292,0
TOTAL;Valores absolutos;País Vasco;2016;1.288,0
TOTAL;Valores absolutos;País Vasco;2015;1.226,0
TOTAL;Valores absolutos;País Vasco;2014;1.162,0
TOTAL;Valores absolutos;País Vasco;2013;1.144,0
TOTAL;Valores absolutos;País Vasco;2012;1.193,0
TOTAL;Valores absolutos;País Vasco;2011;1.177,0
TOTAL;Valores absolutos;País Vasco;2010;1.214,0
TOTAL;Valores absolutos;País Vasco;2009;1.361,0
TOTAL;Valores absolutos;País Vasco;2008;1.392,0
TOTAL;Valores absolutos;Rioja, La;2024;314,0
TOTAL;Valores absolutos;Rioja, La;2023;295,0
TOTAL;Valores absolutos;Rioja, La;2022;303,0
TOTAL;Valores absolutos;Rioja, La;2021;270,0
TOTAL;Valores absolutos;Rioja, La;2020;282,0
TOTAL;Valores absolutos;Rioja, La;2019;276,0
TOTAL;Valores absolutos;Rioja, La;2018;237,0
TOTAL;Valores absolutos;Rioja, La;2017;230,0
TOTAL;Valores absolutos;Rioja, La;2016;221,0
TOTAL;Valores absolutos;Rioja, La;2015;211,0
TOTAL;Valores absolutos;Rioja, La;2014;202,0
TOTAL;Valores absolutos;Rioja, La;2013;189,0
TOTAL;Valores absolutos;Rioja, La;2012;179,0
TOTAL;Valores absolutos;Rioja, La;2011;165,0
TOTAL;Valores absolutos;Rioja, La;2010;160,0
TOTAL;Valores absolutos;Rioja, La;2009;147,0
TOTAL;Valores absolutos;Rioja, La;2008;143,0
TOTAL;Valores absolutos;Ceuta y Melilla;2024;135,0
TOTAL;Valores absolutos;Ceuta y Melilla;2023;132,0
TOTAL;Valores absolutos;Ceuta y Melilla;2022;154,0
TOTAL;Valores absolutos;Ceuta y Melilla;2021;143,0
TOTAL;Valores absolutos;Ceuta y Melilla;2020;137,0
TOTAL;Valores absolutos;Ceuta y Melilla;2019;127,0
TOTAL;Valores absolutos;Ceuta y Melilla;2018;115,0
TOTAL;Valores absolutos;Ceuta y Melilla;2017;114,0
TOTAL;Valores absolutos;Ceuta y Melilla;2016;112,0
TOTAL;Valores absolutos;Ceuta y Melilla;2015;104,0
TOTAL;Valores absolutos;Ceuta y Melilla;2014;94,0
TOTAL;Valores absolutos;Ceuta y Melilla;2013;87,0
TOTAL;Valores absolutos;Ceuta y Melilla;2012;79,0
TOTAL;Valores absolutos;Ceuta y Melilla;2011;78,0
TOTAL;Valores absolutos;Ceuta y Melilla;2010;..
TOTAL;Valores absolutos;Ceuta y Melilla;2009;..
TOTAL;Valores absolutos;Ceuta y Melilla;2008;..
TOTAL;Porcentaje;Total;2024;100,0
TOTAL;Porcentaje;Total;2023;100,0
TOTAL;Porcentaje;Total;2022;100,0
TOTAL;Porcentaje;Total;2021;100,0
TOTAL;Porcentaje;Total;2020;100,0
TOTAL;Porcentaje;Total;2019;100,0
TOTAL;Porcentaje;Total;2018;100,0
TOTAL;Porcentaje;Total;2017;100,0
TOTAL;Porcentaje;Total;2016;100,0
TOTAL;Porcentaje;Total;2015;100,0
TOTAL;Porcentaje;Total;2014;100,0
TOTAL;Porcentaje;Total;2013;100,0
TOTAL;Porcentaje;Total;2012;100,0
TOTAL;Porcentaje;Total;2011;100,0
TOTAL;Porcentaje;Total;2010;100,0
TOTAL;Porcentaje;Total;2009;100,0
TOTAL;Porcentaje;Total;2008;100,0
TOTAL;Porcentaje;Andalucía;2024;100,0
TOTAL;Porcentaje;Andalucía;2023;100,0
TOTAL;Porcentaje;Andalucía;2022;100,0
TOTAL;Porcentaje;Andalucía;2021;100,0
TOTAL;Porcentaje;Andalucía;2020;100,0
TOTAL;Porcentaje;Andalucía;2019;100,0
TOTAL;Porcentaje;Andalucía;2018;100,0
TOTAL;Porcentaje;Andalucía;2017;100,0
TOTAL;Porcentaje;Andalucía;2016;100,0
TOTAL;Porcentaje;Andalucía;2015;100,0
TOTAL;Porcentaje;Andalucía;2014;100,0
TOTAL;Porcentaje;Andalucía;2013;100,0
TOTAL;Porcentaje;Andalucía;2012;100,0
TOTAL;Porcentaje;Andalucía;2011;100,0
TOTAL;Porcentaje;Andalucía;2010;100,0
TOTAL;Porcentaje;Andalucía;2009;100,0
TOTAL;Porcentaje;Andalucía;2008;100,0
TOTAL;Porcentaje;Aragón;2024;100,0
TOTAL;Porcentaje;Aragón;2023;100,0
TOTAL;Porcentaje;Aragón;2022;100,0
TOTAL;Porcentaje;Aragón;2021;100,0
TOTAL;Porcentaje;Aragón;2020;100,0
TOTAL;Porcentaje;Aragón;2019;100,0
TOTAL;Porcentaje;Aragón;2018;100,0
TOTAL;Porcentaje;Aragón;2017;100,0
TOTAL;Porcentaje;Aragón;2016;100,0
TOTAL;Porcentaje;Aragón;2015;100,0
TOTAL;Porcentaje;Aragón;2014;100,0
TOTAL;Porcentaje;Aragón;2013;100,0
TOTAL;Porcentaje;Aragón;2012;100,0
TOTAL;Porcentaje;Aragón;2011;100,0
TOTAL;Porcentaje;Aragón;2010;100,0
TOTAL;Porcentaje;Aragón;2009;100,0
TOTAL;Porcentaje;Aragón;2008;100,0
TOTAL;Porcentaje;Asturias, Principado de;2024;100,0
TOTAL;Porcentaje;Asturias, Principado de;2023;100,0
TOTAL;Porcentaje;Asturias, Principado de;2022;100,0
TOTAL;Porcentaje;Asturias, Principado de;2021;100,0
TOTAL;Porcentaje;Asturias, Principado de;2020;100,0
TOTAL;Porcentaje;Asturias, Principado de;2019;100,0
TOTAL;Porcentaje;Asturias, Principado de;2018;100,0
TOTAL;Porcentaje;Asturias, Principado de;2017;100,0
TOTAL;Porcentaje;Asturias, Principado de;2016;100,0
TOTAL;Porcentaje;Asturias, Principado de;2015;100,0
TOTAL;Porcentaje;Asturias, Principado de;2014;100,0
TOTAL;Porcentaje;Asturias, Principado de;2013;100,0
TOTAL;Porcentaje;Asturias, Principado de;2012;100,0
TOTAL;Porcentaje;Asturias, Principado de;2011;100,0
TOTAL;Porcentaje;Asturias, Principado de;2010;100,0
TOTAL;Porcentaje;Asturias, Principado de;2009;100,0
TOTAL;Porcentaje;Asturias, Principado de;2008;100,0
TOTAL;Porcentaje;Balears, Illes;2024;100,0
TOTAL;Porcentaje;Balears, Illes;2023;100,0
TOTAL;Porcentaje;Balears, Illes;2022;100,0
TOTAL;Porcentaje;Balears, Illes;2021;100,0
TOTAL;Porcentaje;Balears, Illes;2020;100,0
TOTAL;Porcentaje;Balears, Illes;2019;100,0
TOTAL;Porcentaje;Balears, Illes;2018;100,0
TOTAL;Porcentaje;Balears, Illes;2017;100,0
TOTAL;Porcentaje;Balears, Illes;2016;100,0
TOTAL;Porcentaje;Balears, Illes;2015;100,0
TOTAL;Porcentaje;Balears, Illes;2014;100,0
TOTAL;Porcentaje;Balears, Illes;2013;100,0
TOTAL;Porcentaje;Balears, Illes;2012;100,0
TOTAL;Porcentaje;Balears, Illes;2011;100,0
TOTAL;Porcentaje;Balears, Illes;2010;100,0
TOTAL;Porcentaje;Balears, Illes;2009;100,0
TOTAL;Porcentaje;Balears, Illes;2008;100,0
TOTAL;Porcentaje;Canarias;2024;100,0
TOTAL;Porcentaje;Canarias;2023;100,0
TOTAL;Porcentaje;Canarias;2022;100,0
TOTAL;Porcentaje;Canarias;2021;100,0
TOTAL;Porcentaje;Canarias;2020;100,0
TOTAL;Porcentaje;Canarias;2019;100,0
TOTAL;Porcentaje;Canarias;2018;100,0
TOTAL;Porcentaje;Canarias;2017;100,0
TOTAL;Porcentaje;Canarias;2016;100,0
TOTAL;Porcentaje;Canarias;2015;100,0
TOTAL;Porcentaje;Canarias;2014;100,0
TOTAL;Porcentaje;Canarias;2013;100,0
TOTAL;Porcentaje;Canarias;2012;100,0
TOTAL;Porcentaje;Canarias;2011;100,0
TOTAL;Porcentaje;Canarias;2010;100,0
TOTAL;Porcentaje;Canarias;2009;100,0
TOTAL;Porcentaje;Canarias;2008;100,0
TOTAL;Porcentaje;Cantabria;2024;100,0
TOTAL;Porcentaje;Cantabria;2023;100,0
TOTAL;Porcentaje;Cantabria;2022;100,0
TOTAL;Porcentaje;Cantabria;2021;100,0
TOTAL;Porcentaje;Cantabria;2020;100,0
TOTAL;Porcentaje;Cantabria;2019;100,0
TOTAL;Porcentaje;Cantabria;2018;100,0
TOTAL;Porcentaje;Cantabria;2017;100,0
TOTAL;Porcentaje;Cantabria;2016;100,0
TOTAL;Porcentaje;Cantabria;2015;100,0
TOTAL;Porcentaje;Cantabria;2014;100,0
TOTAL;Porcentaje;Cantabria;2013;100,0
TOTAL;Porcentaje;Cantabria;2012;100,0
TOTAL;Porcentaje;Cantabria;2011;100,0
TOTAL;Porcentaje;Cantabria;2010;100,0
TOTAL;Porcentaje;Cantabria;2009;100,0
TOTAL;Porcentaje;Cantabria;2008;100,0
TOTAL;Porcentaje;Castilla y León;2024;100,0
TOTAL;Porcentaje;Castilla y León;2023;100,0
TOTAL;Porcentaje;Castilla y León;2022;100,0
TOTAL;Porcentaje;Castilla y León;2021;100,0
TOTAL;Porcentaje;Castilla y León;2020;100,0
TOTAL;Porcentaje;Castilla y León;2019;100,0
TOTAL;Porcentaje;Castilla y León;2018;100,0
TOTAL;Porcentaje;Castilla y León;2017;100,0
TOTAL;Porcentaje;Castilla y León;2016;100,0
TOTAL;Porcentaje;Castilla y León;2015;100,0
TOTAL;Porcentaje;Castilla y León;2014;100,0
TOTAL;Porcentaje;Castilla y León;2013;100,0
TOTAL;Porcentaje;Castilla y León;2012;100,0
TOTAL;Porcentaje;Castilla y León;2011;100,0
TOTAL;Porcentaje;Castilla y León;2010;100,0
TOTAL;Porcentaje;Castilla y León;2009;100,0
TOTAL;Porcentaje;Castilla y León;2008;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2024;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2023;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2022;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2021;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2020;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2019;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2018;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2017;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2016;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2015;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2014;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2013;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2012;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2011;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2010;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2009;100,0
TOTAL;Porcentaje;Castilla-La Mancha;2008;100,0
TOTAL;Porcentaje;Cataluña;2024;100,0
TOTAL;Porcentaje;Cataluña;2023;100,0
TOTAL;Porcentaje;Cataluña;2022;100,0
TOTAL;Porcentaje;Cataluña;2021;100,0
TOTAL;Porcentaje;Cataluña;2020;100,0
